"Date","Price","Open","High","Low","Vol.","Change %"
"06/22/2016","17.312","17.310","17.355","17.125","59.64K","-0.04%"
"06/21/2016","17.319","17.500","17.605","17.190","74.77K","-1.11%"
"06/20/2016","17.514","17.460","17.660","17.300","62.87K","0.59%"
"06/17/2016","17.411","17.210","17.530","17.210","63.72K","-1.11%"
"06/16/2016","17.607","17.550","17.880","17.170","83.63K","0.59%"
"06/15/2016","17.503","17.400","17.635","17.355","52.04K","0.45%"
"06/14/2016","17.424","17.460","17.500","17.225","49.00K","-0.11%"
"06/13/2016","17.443","17.330","17.465","17.105","62.18K","0.65%"
"06/10/2016","17.330","17.280","17.380","17.160","52.62K","0.36%"
"06/09/2016","17.268","17.055","17.340","16.950","62.73K","1.67%"
"06/08/2016","16.985","16.410","17.115","16.390","74.54K","3.60%"
"06/07/2016","16.394","16.485","16.490","16.245","54.58K","-0.32%"
"06/06/2016","16.447","16.415","16.545","16.365","45.69K","0.50%"
"06/03/2016","16.365","16.015","16.470","15.970","59.40K","2.12%"
"06/02/2016","16.025","15.985","16.065","15.925","39.22K","0.62%"
"06/01/2016","15.927","16.020","16.105","15.830","56.80K","-0.57%"
"05/31/2016","16.018","16.085","16.100","16.085","0.03K","0.15%"
"05/30/2016","15.994","16.220","16.245","15.915","68.82K","-1.69%"
"05/27/2016","16.269","16.335","16.395","16.140","38.78K","-0.45%"
"05/26/2016","16.343","16.335","16.585","16.250","50.58K","0.50%"
"05/25/2016","16.261","16.235","16.380","16.185","47.07K","0.04%"
"05/24/2016","16.254","16.400","16.455","16.210","45.13K","-1.03%"
"05/23/2016","16.423","16.500","16.590","16.325","38.87K","-0.66%"
"05/20/2016","16.532","16.500","16.675","16.435","39.22K","0.24%"
"05/19/2016","16.493","16.855","16.950","16.350","76.51K","-3.73%"
"05/18/2016","17.132","17.285","17.320","16.715","61.96K","-0.68%"
"05/17/2016","17.250","17.175","17.380","17.055","40.69K","0.56%"
"05/16/2016","17.154","17.140","17.430","17.075","47.43K","0.13%"
"05/13/2016","17.132","17.025","17.200","16.850","48.01K","0.17%"
"05/12/2016","17.103","17.445","17.485","17.000","53.79K","-1.25%"
"05/11/2016","17.319","17.155","17.620","17.125","49.97K","1.33%"
"05/10/2016","17.092","17.050","17.190","16.925","43.22K","0.02%"
"05/09/2016","17.089","17.460","17.505","16.960","56.68K","-2.50%"
"05/06/2016","17.527","17.370","17.635","17.220","52.45K","1.15%"
"05/05/2016","17.327","17.410","17.685","17.285","55.05K","0.15%"
"05/04/2016","17.301","17.450","17.510","17.215","51.20K","-1.13%"
"05/03/2016","17.499","17.605","17.760","17.365","61.63K","-1.03%"
"05/02/2016","17.682","17.920","18.060","17.530","55.82K","-0.77%"
"04/29/2016","17.819","17.630","18.020","17.615","66.18K","1.31%"
"04/28/2016","17.588","17.285","17.695","17.185","72.24K","1.73%"
"04/27/2016","17.289","17.160","17.435","17.055","75.96K","1.05%"
"04/26/2016","17.110","17.005","17.175","16.835","83.61K","0.59%"
"04/25/2016","17.009","16.900","17.140","16.810","63.00K","0.64%"
"04/22/2016","16.900","17.015","17.360","16.855","88.30K","-1.11%"
"04/21/2016","17.090","16.960","17.720","16.755","142.29K","-0.26%"
"04/20/2016","17.135","16.960","17.255","16.855","92.98K","0.96%"
"04/19/2016","16.972","16.235","17.110","16.180","107.56K","4.42%"
"04/18/2016","16.253","16.295","16.340","16.130","45.77K","-0.37%"
"04/15/2016","16.313","16.185","16.395","16.110","46.57K","0.87%"
"04/14/2016","16.173","16.230","16.270","15.925","60.58K","-0.93%"
"04/13/2016","16.325","16.200","16.345","16.015","68.65K","0.63%"
"04/12/2016","16.222","15.950","16.230","15.800","75.57K","1.54%"
"04/11/2016","15.976","15.380","15.985","15.370","74.21K","3.85%"
"04/08/2016","15.384","15.215","15.390","15.120","43.34K","1.49%"
"04/07/2016","15.158","15.055","15.365","15.055","51.59K","0.69%"
"04/06/2016","15.054","15.130","15.195","14.915","41.55K","-0.41%"
"04/05/2016","15.116","14.940","15.220","14.925","40.47K","1.15%"
"04/04/2016","14.944","15.025","15.105","14.895","36.40K","-0.68%"
"04/01/2016","15.046","15.445","15.480","14.785","71.49K","-2.70%"
"03/31/2016","15.464","15.215","15.550","15.200","40.38K","1.66%"
"03/30/2016","15.211","15.360","15.460","15.175","45.02K","-0.14%"
"03/29/2016","15.233","15.230","15.375","15.060","47.51K","0.28%"
"03/28/2016","15.190","15.190","15.375","15.140","27.24K","-0.06%"
"03/24/2016","15.199","15.275","15.335","15.105","41.07K","-0.48%"
"03/23/2016","15.272","15.885","15.935","15.235","76.68K","-3.86%"
"03/22/2016","15.885","15.855","16.040","15.790","46.58K","0.24%"
"03/21/2016","15.847","15.830","15.925","15.725","33.91K","0.23%"
"03/18/2016","15.811","15.970","16.170","15.755","46.01K","-1.38%"
"03/17/2016","16.033","15.625","16.075","15.565","79.23K","5.35%"
"03/16/2016","15.219","15.290","15.675","15.210","47.24K","-0.28%"
"03/15/2016","15.261","15.375","15.420","15.200","38.70K","-1.68%"
"03/14/2016","15.521","15.520","15.850","15.310","58.17K","-0.54%"
"03/11/2016","15.605","15.615","15.755","15.480","45.38K","0.36%"
"03/10/2016","15.549","15.310","15.665","15.165","63.69K","1.19%"
"03/09/2016","15.366","15.370","15.455","15.205","44.00K","-0.16%"
"03/08/2016","15.390","15.650","15.760","15.350","52.20K","-1.55%"
"03/07/2016","15.633","15.575","15.830","15.495","48.85K","-0.39%"
"03/04/2016","15.694","15.230","15.840","15.150","85.08K","3.62%"
"03/03/2016","15.146","14.980","15.340","14.865","43.62K","0.83%"
"03/02/2016","15.022","14.830","15.045","14.770","39.82K","1.80%"
"03/01/2016","14.756","14.915","15.105","14.745","40.66K","-1.09%"
"02/29/2016","14.918","14.755","14.945","14.610","52.67K","1.39%"
"02/26/2016","14.714","15.175","15.260","14.695","72.79K","-3.01%"
"02/25/2016","15.170","15.240","15.330","15.030","68.98K","-0.83%"
"02/24/2016","15.297","15.300","15.595","15.185","83.78K","0.37%"
"02/23/2016","15.240","15.190","15.320","15.170","59.96K","0.37%"
"02/22/2016","15.184","15.365","15.370","14.945","67.44K","-1.23%"
"02/19/2016","15.373","15.420","15.495","15.290","50.79K","-0.38%"
"02/18/2016","15.432","15.315","15.570","15.225","62.25K","0.36%"
"02/17/2016","15.377","15.275","15.415","15.190","60.01K","0.21%"
"02/16/2016","15.345","15.455","15.455","15.260","0.43K","0.07%"
"02/15/2016","15.334","15.705","15.740","15.155","87.04K","-2.89%"
"02/12/2016","15.790","15.805","15.845","15.650","53.86K","-0.03%"
"02/11/2016","15.794","15.285","15.990","15.285","93.36K","3.35%"
"02/10/2016","15.282","15.285","15.325","15.110","57.40K","-1.08%"
"02/09/2016","15.449","15.360","15.470","15.205","54.35K","0.15%"
"02/08/2016","15.426","15.000","15.480","14.900","69.52K","4.38%"
"02/05/2016","14.778","14.880","15.065","14.670","53.90K","-0.48%"
"02/04/2016","14.850","14.705","14.930","14.650","52.52K","0.79%"
"02/03/2016","14.734","14.310","14.820","14.270","65.07K","3.11%"
"02/02/2016","14.289","14.345","14.405","14.230","34.18K","-0.38%"
"02/01/2016","14.343","14.255","14.420","14.200","35.15K","0.70%"
"01/29/2016","14.243","14.250","14.310","14.160","32.36K","0.08%"
"01/28/2016","14.232","14.510","14.540","14.070","43.77K","-1.57%"
"01/27/2016","14.459","14.515","14.585","14.360","37.69K","-0.72%"
"01/26/2016","14.564","14.255","14.580","14.220","56.61K","2.17%"
"01/25/2016","14.254","14.065","14.310","14.025","37.40K","1.40%"
"01/22/2016","14.057","14.115","14.360","14.020","45.77K","-0.26%"
"01/21/2016","14.094","14.175","14.210","13.885","48.80K","-0.47%"
"01/20/2016","14.160","14.035","14.220","13.995","39.85K","0.28%"
"01/19/2016","14.121","13.920","14.185","13.840","46.36K","0.00%"
"01/18/2016","14.121","13.920","14.185","13.840","46.36K","1.62%"
"01/15/2016","13.896","13.850","14.135","13.765","44.61K","1.08%"
"01/14/2016","13.748","14.175","14.185","13.740","50.73K","-2.88%"
"01/13/2016","14.156","13.785","14.205","13.750","50.02K","2.95%"
"01/12/2016","13.751","13.875","13.910","13.730","38.76K","-0.83%"
"01/11/2016","13.866","13.965","14.075","13.825","41.86K","-0.37%"
"01/08/2016","13.918","14.325","14.340","13.870","52.19K","-2.97%"
"01/07/2016","14.344","13.995","14.385","13.920","68.54K","2.63%"
"01/06/2016","13.976","13.950","14.135","13.855","40.05K","0.04%"
"01/05/2016","13.971","13.860","14.065","13.845","29.58K","0.94%"
"01/04/2016","13.841","13.815","14.185","13.800","51.63K","0.28%"
"12/31/2015","13.803","13.865","13.960","13.765","17.24K","-0.28%"
"12/30/2015","13.842","13.925","13.985","13.750","24.31K","-0.62%"
"12/29/2015","13.928","13.915","14.055","13.900","24.70K","0.32%"
"12/28/2015","13.884","14.365","14.425","13.850","34.87K","-3.44%"
"12/24/2015","14.379","14.300","14.400","14.265","13.69K","0.64%"
"12/23/2015","14.287","14.260","14.345","14.200","22.40K","-0.19%"
"12/22/2015","14.314","14.240","14.400","14.215","31.87K","-0.01%"
"12/21/2015","14.315","14.110","14.330","14.045","38.61K","1.55%"
"12/18/2015","14.096","13.710","14.195","13.685","45.14K","2.87%"
"12/17/2015","13.703","14.195","14.225","13.665","48.01K","-3.83%"
"12/16/2015","14.248","13.745","14.310","13.745","55.18K","3.47%"
"12/15/2015","13.770","13.655","13.810","13.635","38.12K","0.55%"
"12/14/2015","13.695","13.900","13.965","13.620","43.04K","-1.36%"
"12/11/2015","13.884","14.070","14.135","13.750","53.11K","-1.60%"
"12/10/2015","14.110","14.155","14.225","14.090","22.05K","-0.56%"
"12/09/2015","14.189","14.130","14.335","14.105","38.03K","0.52%"
"12/08/2015","14.116","14.220","14.310","14.065","38.79K","-1.51%"
"12/07/2015","14.332","14.590","14.640","14.205","41.32K","-1.35%"
"12/04/2015","14.528","14.100","14.610","14.020","59.70K","3.20%"
"12/03/2015","14.077","13.975","14.145","13.805","46.12K","0.49%"
"12/02/2015","14.009","14.165","14.210","13.900","36.16K","-0.53%"
"12/01/2015","14.083","14.060","14.240","14.040","31.41K","-0.02%"
"11/30/2015","14.086","14.045","14.180","13.975","27.92K","0.37%"
"11/27/2015","14.034","14.034","14.034","14.034","","-0.10%"
"11/26/2015","14.048","14.170","14.375","13.930","53.21K","-0.78%"
"11/25/2015","14.158","14.160","14.240","13.995","54.20K","-0.01%"
"11/24/2015","14.159","14.090","14.270","14.020","59.73K","0.91%"
"11/23/2015","14.032","14.135","14.155","13.855","58.08K","-0.45%"
"11/20/2015","14.096","14.230","14.370","14.040","48.93K","-0.89%"
"11/19/2015","14.222","14.140","14.370","14.090","47.79K","1.00%"
"11/18/2015","14.081","14.145","14.210","13.990","48.03K","-0.64%"
"11/17/2015","14.171","14.220","14.250","14.080","48.10K","-0.36%"
"11/16/2015","14.222","14.265","14.420","14.170","43.02K","0.13%"
"11/13/2015","14.204","14.250","14.350","14.140","39.52K","-0.15%"
"11/12/2015","14.225","14.275","14.465","14.155","67.76K","-0.27%"
"11/11/2015","14.263","14.375","14.490","14.230","50.93K","-0.65%"
"11/10/2015","14.356","14.515","14.555","14.265","58.43K","-0.40%"
"11/09/2015","14.413","14.730","14.760","14.395","50.39K","-1.89%"
"11/06/2015","14.691","14.960","15.045","14.685","54.95K","-1.95%"
"11/05/2015","14.983","15.065","15.090","14.910","42.80K","-0.50%"
"11/04/2015","15.058","15.255","15.325","15.025","39.66K","-1.19%"
"11/03/2015","15.239","15.400","15.450","15.200","35.44K","-1.10%"
"11/02/2015","15.408","15.535","15.550","15.250","40.80K","-1.02%"
"10/30/2015","15.567","15.600","15.655","15.475","40.00K","0.11%"
"10/29/2015","15.550","15.935","16.010","15.535","62.48K","-4.56%"
"10/28/2015","16.293","15.860","16.370","15.720","72.13K","2.71%"
"10/27/2015","15.863","15.840","15.950","15.780","27.45K","-0.26%"
"10/26/2015","15.905","15.845","15.980","15.770","24.97K","0.49%"
"10/23/2015","15.827","15.815","16.100","15.705","48.55K","-0.06%"
"10/22/2015","15.837","15.680","15.910","15.640","33.50K","0.81%"
"10/21/2015","15.710","15.900","15.940","15.610","40.33K","-1.30%"
"10/20/2015","15.917","15.830","15.965","15.740","38.77K","0.48%"
"10/19/2015","15.841","16.015","16.040","15.735","35.46K","-1.69%"
"10/16/2015","16.114","16.120","16.165","15.935","32.34K","-0.31%"
"10/15/2015","16.164","16.130","16.195","15.900","47.36K","0.29%"
"10/14/2015","16.117","15.910","16.195","15.790","60.33K","1.32%"
"10/13/2015","15.907","15.815","15.985","15.615","40.67K","0.27%"
"10/12/2015","15.864","15.795","16.075","15.765","36.44K","0.29%"
"10/09/2015","15.818","15.680","16.010","15.585","41.67K","0.33%"
"10/08/2015","15.766","16.055","16.080","15.375","59.34K","-2.04%"
"10/07/2015","16.094","15.890","16.115","15.820","44.10K","0.69%"
"10/06/2015","15.984","15.620","16.090","15.570","60.22K","1.76%"
"10/05/2015","15.708","15.250","15.730","15.100","61.89K","2.92%"
"10/02/2015","15.263","14.490","15.300","14.360","70.56K","5.18%"
"10/01/2015","14.511","14.500","14.670","14.430","28.15K","-0.05%"
"09/30/2015","14.518","14.605","14.725","14.435","37.06K","-0.38%"
"09/29/2015","14.573","14.585","14.700","14.455","33.13K","0.24%"
"09/28/2015","14.538","15.070","15.110","14.470","57.21K","-3.79%"
"09/25/2015","15.111","15.070","15.185","14.945","29.90K","-0.13%"
"09/24/2015","15.130","14.765","15.180","14.745","45.68K","2.31%"
"09/23/2015","14.789","14.765","14.910","14.685","26.77K","0.22%"
"09/22/2015","14.756","15.180","15.220","14.695","45.91K","-3.05%"
"09/21/2015","15.221","15.165","15.245","15.080","22.25K","0.38%"
"09/18/2015","15.163","15.120","15.435","15.015","46.42K","1.19%"
"09/17/2015","14.984","14.925","15.275","14.770","42.38K","0.67%"
"09/16/2015","14.885","14.370","14.965","14.310","51.34K","3.90%"
"09/15/2015","14.326","14.365","14.410","14.240","22.26K","-0.26%"
"09/14/2015","14.363","14.555","14.590","14.310","24.50K","-0.98%"
"09/11/2015","14.505","14.685","14.745","14.250","41.11K","-0.96%"
"09/10/2015","14.645","14.590","14.845","14.535","33.33K","0.47%"
"09/09/2015","14.576","14.795","14.930","14.560","34.42K","-1.18%"
"09/08/2015","14.750","14.750","14.750","14.750","0.01K","-0.03%"
"09/07/2015","14.755","14.550","14.880","14.440","42.66K","1.42%"
"09/04/2015","14.549","14.690","14.825","14.475","26.61K","-1.07%"
"09/03/2015","14.707","14.660","14.950","14.550","32.24K","0.27%"
"09/02/2015","14.667","14.585","14.815","14.425","38.22K","0.32%"
"09/01/2015","14.620","14.595","14.755","14.495","36.88K","0.23%"
"08/31/2015","14.586","14.580","14.670","14.390","29.89K","0.25%"
"08/28/2015","14.549","14.505","14.670","14.350","46.53K","0.92%"
"08/27/2015","14.417","14.100","14.560","14.050","59.87K","2.68%"
"08/26/2015","14.041","14.675","14.705","13.910","69.36K","-3.89%"
"08/25/2015","14.610","14.795","14.930","14.520","67.84K","-1.03%"
"08/24/2015","14.762","15.345","15.390","14.555","100.31K","-3.52%"
"08/21/2015","15.301","15.540","15.715","15.105","58.06K","-1.39%"
"08/20/2015","15.517","15.270","15.560","15.255","53.43K","2.23%"
"08/19/2015","15.179","14.865","15.320","14.795","62.38K","2.63%"
"08/18/2015","14.790","15.300","15.325","14.680","63.49K","-3.32%"
"08/17/2015","15.298","15.225","15.375","15.180","30.12K","0.56%"
"08/14/2015","15.213","15.400","15.585","15.140","46.38K","-1.21%"
"08/13/2015","15.399","15.515","15.555","15.265","48.73K","-0.50%"
"08/12/2015","15.476","15.290","15.570","15.125","67.36K","1.26%"
"08/11/2015","15.284","15.230","15.380","15.065","64.51K","-0.05%"
"08/10/2015","15.292","14.750","15.375","14.705","57.54K","3.18%"
"08/07/2015","14.821","14.630","14.990","14.565","62.03K","0.98%"
"08/06/2015","14.677","14.545","14.735","14.490","32.73K","0.85%"
"08/05/2015","14.553","14.545","14.675","14.465","34.45K","-0.03%"
"08/04/2015","14.557","14.450","14.625","14.345","35.56K","0.29%"
"08/03/2015","14.515","14.750","14.765","14.390","37.74K","-1.56%"
"07/31/2015","14.745","14.695","14.970","14.510","46.31K","0.33%"
"07/30/2015","14.696","14.775","14.815","14.580","32.48K","-0.32%"
"07/29/2015","14.743","14.640","14.900","14.570","36.95K","0.69%"
"07/28/2015","14.642","14.515","14.675","14.510","27.41K","0.25%"
"07/27/2015","14.605","14.690","14.740","14.495","31.24K","0.81%"
"07/24/2015","14.488","14.615","14.710","14.330","54.03K","-1.45%"
"07/23/2015","14.701","14.740","14.960","14.545","28.25K","-0.20%"
"07/22/2015","14.730","14.810","14.865","14.585","34.47K","-0.37%"
"07/21/2015","14.785","14.635","14.930","14.615","30.46K","0.18%"
"07/20/2015","14.758","14.830","14.980","14.490","59.33K","-0.51%"
"07/17/2015","14.834","14.955","15.005","14.795","27.75K","-1.00%"
"07/16/2015","14.984","15.060","15.145","14.845","30.84K","-0.43%"
"07/15/2015","15.048","15.325","15.360","14.960","34.77K","-1.74%"
"07/14/2015","15.315","15.480","15.480","15.235","28.08K","-0.92%"
"07/13/2015","15.457","15.555","15.900","15.270","37.58K","-0.16%"
"07/10/2015","15.481","15.375","15.635","15.340","30.25K","0.78%"
"07/09/2015","15.361","15.110","15.525","14.975","46.02K","1.31%"
"07/08/2015","15.163","15.005","15.220","14.705","65.79K","1.30%"
"07/07/2015","14.969","15.670","15.710","14.620","95.49K","-4.98%"
"07/06/2015","15.753","15.630","15.820","15.495","39.92K","0.00%"
"07/03/2015","15.753","15.715","15.820","15.495","39.92K","1.23%"
"07/02/2015","15.562","15.530","15.755","15.450","35.02K","-0.10%"
"07/01/2015","15.577","15.615","15.685","15.500","31.34K","-0.03%"
"06/30/2015","15.581","15.770","15.840","15.435","59.45K","-0.73%"
"06/29/2015","15.695","15.865","16.040","15.660","52.42K","-0.46%"
"06/26/2015","15.768","15.840","15.905","15.480","46.94K","-0.25%"
"06/25/2015","15.808","15.850","15.910","15.730","47.05K","-0.28%"
"06/24/2015","15.853","15.810","15.885","15.720","48.88K","0.74%"
"06/23/2015","15.737","16.135","16.175","15.670","71.69K","-2.51%"
"06/22/2015","16.142","16.100","16.230","15.985","52.30K","0.20%"
"06/19/2015","16.109","16.110","16.190","15.870","36.16K","-0.27%"
"06/18/2015","16.153","16.075","16.430","16.020","58.28K","1.29%"
"06/17/2015","15.947","15.965","16.250","15.885","39.27K","-0.11%"
"06/16/2015","15.965","16.035","16.105","15.850","34.00K","-0.73%"
"06/15/2015","16.083","15.900","16.235","15.810","49.65K","1.63%"
"06/12/2015","15.825","15.980","16.005","15.785","37.56K","-0.85%"
"06/11/2015","15.960","15.960","16.040","15.770","49.75K","0.01%"
"06/10/2015","15.959","15.910","16.190","15.895","45.25K","0.01%"
"06/09/2015","15.957","15.920","16.135","15.905","45.74K","-0.01%"
"06/08/2015","15.959","16.040","16.110","15.880","46.03K","-0.16%"
"06/05/2015","15.984","16.065","16.160","15.925","59.68K","-0.74%"
"06/04/2015","16.103","16.480","16.500","16.065","54.53K","-2.29%"
"06/03/2015","16.480","16.775","16.795","16.375","56.53K","-1.90%"
"06/02/2015","16.799","16.725","16.840","16.610","41.68K","0.71%"
"06/01/2015","16.680","16.695","17.170","16.590","56.49K","-0.13%"
"05/29/2015","16.701","16.670","16.850","16.640","30.47K","0.19%"
"05/28/2015","16.669","16.675","16.775","16.540","35.37K","0.13%"
"05/27/2015","16.647","16.735","16.810","16.580","31.98K","-0.59%"
"05/26/2015","16.746","17.050","17.180","16.645","48.46K","0.00%"
"05/25/2015","16.746","17.050","17.180","16.645","48.46K","-1.79%"
"05/22/2015","17.051","17.140","17.335","16.940","31.25K","-0.47%"
"05/21/2015","17.132","17.100","17.250","17.000","21.29K","0.11%"
"05/20/2015","17.113","17.095","17.280","16.935","34.83K","0.25%"
"05/19/2015","17.071","17.705","17.735","16.870","59.14K","-3.73%"
"05/18/2015","17.732","17.535","17.775","17.475","39.80K","0.96%"
